index,mid,display_name,level_0,level_1,level_2,level_3,level_4,level_5,hierarchy_path,description
203,/m/03qjg,Harmonica,Music,Musical instrument,Harmonica,,,,Music > Musical instrument > Harmonica,"The sound of a wind instrument played by using the mouth to direct air into or out of one or more holes along a mouthpiece. Behind each hole is a chamber containing at least one reed, producing a specific note or notes."
204,/m/0mkg,Accordion,Music,Musical instrument,Accordion,,,,Music > Musical instrument > Accordion,"The sound of a family of box-shaped bellows-driven musical instruments played by pressing buttons or keys which allow air to flow across strips of brass or steel, called reeds, that vibrate to produce sound inside the body."
205,/m/0192l,Bagpipes,Music,Musical instrument,Bagpipes,,,,Music > Musical instrument > Bagpipes,The sound of a wind instrument using enclosed reeds fed from a constant reservoir of air in the form of a bag.
206,/m/02bxd,Didgeridoo,Music,Musical instrument,Didgeridoo,,,,Music > Musical instrument > Didgeridoo,"The sound of an Indigenous Australian wind instrument, usually cylindrical or conical, measuring anywhere from 1 to 3 m long."
207,/m/0l14l2,Shofar,Music,Musical instrument,Shofar,,,,Music > Musical instrument > Shofar,"The sound of an ancient musical horn made of ram's horn, used for Jewish religious purposes."
208,/m/07kc_,Theremin,Music,Musical instrument,Theremin,,,,Music > Musical instrument > Theremin,"The sound of an early electronic musical instrument controlled without physical contact via two metal antennas that sense the relative position of the player's hands and control oscillators for frequency with one hand, and amplitude with the other."
209,/m/0l14t7,Singing bowl,Music,Musical instrument,Singing bowl,,,,Music > Musical instrument > Singing bowl,"The sound of a type of bell that sits with the bottom surface resting, allowing the rim to vibrate to produce sound."
210,/m/01hgjl,Scratching (performance technique),Music,Musical instrument,Scratching (performance technique),,,,Music > Musical instrument > Scratching (performance technique),The sound of a technique of moving a vinyl record back and forth on a turntable while optionally manipulating the crossfader on a DJ mixer.
211,/m/064t9,Pop music,Music,Music genre,Pop music,,,,Music > Music genre > Pop music,"A genre of popular music that originated in the West during the 1950s and 1960s. Pop music is eclectic, often borrowing elements from urban, dance, rock, Latin, country, and other styles. Songs are typically short to medium-length with repeated choruses, melodic tunes, and hooks."
212,/m/0glt670,Hip hop music,Music,Music genre,Hip hop music,,,,Music > Music genre > Hip hop music,"Hip hop or rap music formed in the United States in the 1970s and consists of stylized rhythmic music that commonly accompanies rhythmic and rhyming speech (""rapping"")."
213,/m/02cz_7,Beatboxing,Music,Music genre,Vocal music,Beatboxing,,,Music > Music genre > Vocal music > Beatboxing,"A form of vocal percussion primarily involving the art of mimicking drum machines using one's mouth, lips, tongue, and voice."
214,/m/06by7,Rock music,Music,Music genre,Rock music,,,,Music > Music genre > Rock music,"A genre of popular music that originated as ""rock and roll"" in the United States in the 1950s, and developed into a range of different styles in the 1960s and later. Compared to pop music, rock places a higher degree of emphasis on musicianship, live performance, and an ideology of authenticity."
215,/m/03lty,Heavy metal,Music,Music genre,Rock music,Heavy metal,,,Music > Music genre > Rock music > Heavy metal,"A genre of rock music that developed in the late 1960s and early 1970s, consisting of a thick, massive sound, characterized by highly amplified distortion, extended guitar solos, emphatic beats, and overall loudness."
216,/m/05r6t,Punk rock,Music,Music genre,Rock music,Punk rock,,,Music > Music genre > Rock music > Punk rock,"A rock music genre that developed between 1974 and 1976 typically composed of short or fast-paced songs, with hard-edged melodies and singing styles, stripped-down instrumentation, and often political, anti-establishment lyrics."
217,/m/0dls3,Grunge,Music,Music genre,Rock music,Grunge,,,Music > Music genre > Rock music > Grunge,"A subgenre of alternative rock that emerged during the mid-1980s fusing elements of punk rock and heavy metal, such as distorted electric guitars. Lyrics are typically angst-filled, addressing themes such as social alienation, apathy, confinement, and a desire for freedom."
218,/m/0dl5d,Progressive rock,Music,Music genre,Rock music,Progressive rock,,,Music > Music genre > Rock music > Progressive rock,"A rock music subgenre that developed in the late 1960s as an attempt to give greater artistic credibility to rock music. Songs were replaced by musical suites that often stretched to 20 or 40 minutes in length and contained symphonic influences, extended musical themes, fantasy-like ambience and lyrics, and complex orchestrations."
219,/m/07sbbz2,Rock and roll,Music,Music genre,Rock music,Rock and roll,,,Music > Music genre > Rock music > Rock and roll,"A genre of popular music that originated and evolved in the United States during the late 1940s and early 1950s, from a combination of African-American genres such as blues, boogie-woogie, jump blues, jazz, and gospel music, together with Western swing and country music."
220,/m/05w3f,Psychedelic rock,Music,Music genre,Rock music,Psychedelic rock,,,Music > Music genre > Rock music > Psychedelic rock,"A style of rock music influenced by psychedelic culture and attempts to replicate and enhance the mind-altering experiences of psychedelic drugs, most notably LSD. It often uses new recording techniques and effects and sometimes draws on sources such as the ragas and drones of Indian music."
221,/m/06j6l,Rhythm and blues,Music,Music genre,Rhythm and blues,,,,Music > Music genre > Rhythm and blues,"A genre of popular African-American music that originated in the 1940s as urbane, rocking, jazz based music with a heavy, insistent beat. Lyrics focus heavily on the themes of triumphs and failures in terms of relationships, freedom, economics, aspirations, and sex."
222,/m/0gywn,Soul music,Music,Music genre,Soul music,,,,Music > Music genre > Soul music,"A popular music genre that combines elements of African-American gospel music, rhythm and blues and jazz."
223,/m/06cqb,Reggae,Music,Music genre,Reggae,,,,Music > Music genre > Reggae,"A music genre that originated in Jamaica in the late 1960s, strongly influenced by traditional mento as well as American jazz and rhythm and blues, instantly recognizable from the counterpoint between the bass and drum downbeat, and the offbeat rhythm section."
224,/m/01lyv,Country,Music,Music genre,Country,,,,Music > Music genre > Country,"A genre of United States popular music with origins in folk, Blues and Western music, often consisting of ballads and dance tunes with generally simple forms and harmonies accompanied by mostly string instruments such as banjos, electric and acoustic guitars, dobros, and fiddles as well as harmonicas."
225,/m/015y_n,Swing music,Music,Music genre,Country,Swing music,,,Music > Music genre > Country > Swing music,"A form of American music that dominated in the 1930s and 1940s, using a strong rhythm section of double bass and drums as the anchor, a lead section of brass, woodwind, and sometimes stringed instruments, medium to fast tempos, and a ""lilting"" swing time rhythm."
226,/m/0gg8l,Bluegrass,Music,Music genre,Country,Bluegrass,,,Music > Music genre > Country > Bluegrass,"A form of American roots music from the Appalachias with mixed roots in Irish, Scottish, Welsh, and English traditional music, later influenced by the music of African-Americans through incorporation of jazz elements."
227,/m/02x8m,Funk,Music,Music genre,Funk,,,,Music > Music genre > Funk,"A music genre that originated in the 1960s when African American musicians created a rhythmic, danceable new form of music that de-emphasized melody and chord progressions to bring a strong rhythmic groove of a bass line and drum part to the foreground."
228,/m/02w4v,Folk music,Music,Music genre,Folk music,,,,Music > Music genre > Folk music,A genre that evolved from traditional music during the 20th century folk revival. One meaning often given is that of old songs with no known composers; another is music that has been transmitted and evolved by a process of oral transmission or performed by custom over a long period of time.
229,/m/06j64v,Middle Eastern music,Music,Music genre,Middle Eastern music,,,,Music > Music genre > Middle Eastern music,"Music originating from the vast region from Morocco to Iran, including the Arabic countries of the Middle East and North Africa, the Iraqi traditions of Mesopotamia, Iranian traditions of Persia, the Hebrew music of Israel, Armenian music, the varied traditions of Cypriot music, the music of Turkey, traditional Assyrian music, Berbers of North Africa, and Coptic Christians in Egypt."
230,/m/03_d0,Jazz,Music,Music genre,Jazz,,,,Music > Music genre > Jazz,"A music genre that originated from African American communities of New Orleans during the late 19th and early 20th centuries in the form of independent traditional and popular musical styles, all linked by the common bonds of African American and European American musical parentage with a performance orientation."
231,/m/026z9,Disco,Music,Music genre,Disco,,,,Music > Music genre > Disco,"A genre of dance music containing elements of funk, soul, pop, and salsa that achieved popularity during the mid-1970s to the early 1980s."
232,/m/0ggq0m,Classical music,Music,Music genre,Classical music,,,,Music > Music genre > Classical music,"Art music produced or rooted in the traditions of Western music, including both liturgical and secular music, over the broad span of time from roughly the 11th century to the present day."
233,/m/05lls,Opera,Music,Music genre,Classical music,Opera,,,Music > Music genre > Classical music > Opera,"An art form in which singers and musicians perform a dramatic work combining text and musical score, usually in a theatrical setting."
234,/m/02lkt,Electronic music,Music,Music genre,Electronic music,,,,Music > Music genre > Electronic music,A large set of predominantly popular and dance genres in which synthesizers and other electronic instruments are the primary sources of sound.
235,/m/03mb9,House music,Music,Music genre,Electronic music,House music,,,Music > Music genre > Electronic music > House music,"A genre of electronic dance music originating in Chicago in the early 1980s which is generally dance-based music characterized by repetitive 4/4 beats, rhythms mainly provided by drum machines, off-beat hi-hat cymbals, and synthesized basslines."
236,/m/07gxw,Techno,Music,Music genre,Electronic music,Techno,,,Music > Music genre > Electronic music > Techno,"A form of electronic dance music that emerged in Detroit during the mid-to-late 1980s, resulting from the melding of African American music including with electronic music by artists such as Kraftwerk, Giorgio Moroder, and Yellow Magic Orchestra."
237,/m/07s72n,Dubstep,Music,Music genre,Electronic music,Dubstep,,,Music > Music genre > Electronic music > Dubstep,"A genre of electronic dance music that originated in South London in the late 1990s which generally features sparse, syncopated drum and percussion patterns with bass lines that contain prominent sub bass frequencies."
238,/m/0283d,Drum and bass,Music,Music genre,Electronic music,Drum and bass,,,Music > Music genre > Electronic music > Drum and bass,"A genre of electronic music that emerged from rave and oldschool jungle scenes in England during the early 1990s characterized by fast, syncopated breakbeats with heavy bass and sub-bass lines, sampled sources, and synthesizers."
239,/m/0m0jc,Electronica,Music,Music genre,Electronic music,Electronica,,,Music > Music genre > Electronic music > Electronica,"An umbrella term that encompasses a broad group of electronic-based styles such as techno, house, ambient, drum and bass, jungle, and industrial dance, among others."
240,/m/08cyft,Electronic dance music,Music,Music genre,Electronic music,Electronic dance music,,,Music > Music genre > Electronic music > Electronic dance music,"A broad range of percussive electronic music genres including techno, house, trance, drum and bass, dubstep, and Jersey club produced largely for nightclubs, raves, and festivals, or by disc jockeys in the context of a live mix."
241,/m/0fd3y,Ambient music,Music,Music genre,Electronic music,Ambient music,,,Music > Music genre > Electronic music > Ambient music,A genre of music that developed in England in the 1970s from experimental and synthesizer-oriented styles which puts an emphasis on tone and atmosphere over traditional musical structure or rhythm.
242,/m/07lnk,Trance music,Music,Music genre,Electronic music,Trance music,,,Music > Music genre > Electronic music > Trance music,"A genre of electronic dance music that developed in Germany during the 1990s characterized by a tempo between 125 and 150 beats per minute, repeating melodic phrases, and a musical form that distinctly builds tension throughout a track by mixing layers with distinctly foreshadowed build-up and release."
243,/m/0g293,Music of Latin America,Music,Music genre,Music of Latin America,,,,Music > Music genre > Music of Latin America,"Music originating from Latin America which encompasses a wide variety of styles, including son, rumba, salsa, merengue, tango, samba, and bossa nova."
244,/m/0ln16,Salsa music,Music,Music genre,Music of Latin America,Salsa music,,,Music > Music genre > Music of Latin America > Salsa music,"A genre of music that is based largely on Cuban, Puerto Rican, and Dominican popular dance music, occasionally incorporating elements of rock, R&B, and funk."
245,/m/0326g,Flamenco,Music,Music genre,Music of Latin America,Flamenco,,,Music > Music genre > Music of Latin America > Flamenco,"A genre originating in Andalusian music and dance styles which includes cante, toque, baile, jaleo, palmas, and pitos."
246,/m/0155w,Blues,Music,Music genre,Blues,,,,Music > Music genre > Blues,"A genre and musical form developed by African Americans in the United States around the end of the 19th century from African-American work songs and European-American folk music. The blues form, ubiquitous in jazz and rock and roll, is characterized by the call-and-response pattern, the blues scale and specific chord progressions, of which the twelve-bar blues is the most common. Blues shuffles or walking bass reinforce the trance-like rhythm and form a repetitive groove effect."
247,/m/05fw6t,Music for children,Music,Music genre,Music for children,,,,Music > Music genre > Music for children,"Music performed for children, often designed to provide an entertaining means of teaching about cultures, good behavior, facts, and skills."
248,/m/02v2lh,New-age music,Music,Music genre,New-age music,,,,Music > Music genre > New-age music,"A genre of music intended to create artistic inspiration, relaxation, and optimism used by listeners for yoga, massage, meditation, and reading as a method of stress management or to create a peaceful atmosphere. Includes both electronic and acoustic forms."
249,/m/0y4f8,Vocal music,Music,Music genre,Vocal music,,,,Music > Music genre > Vocal music,"Music performed by one or more singers, with or without instrumental accompaniment, in which singing provides the main focus of the piece."
250,/m/0z9c,A capella,Music,Music genre,Vocal music,A capella,,,Music > Music genre > Vocal music > A capella,Group or solo singing without instrumental accompaniment.
